id,level,role,failedChecks,meter,barBeats,meterSuspect,timeline,songBeats,key,detectedKey,keyConfidence,keyDetermined,keyAgrees,notes,range,medianMidi,maximumStop,upperNotes,missedOpens,maxLeap,wideLeapPct,minimumAttackMs,shortestAttackBeats,longestNoteBeats,attacksPer4Beats,repeatedPitchPct,maximumHandShiftMm,measuredDifficulty,entryBeats,entrySeconds,tailBeats,maxGapBeats,liveGapBeats,fillPct,attacks,distinctPitches,pitchClasses,accidentals,accidentalsEitherMode,inKeyDetectedPct,rootPct,rootFifthPct,chordTonePct,bassDoublingPct,rootNullBestPct,rootDiscriminating,openStringPct,belowOpenGPct,stoppedBelowOpenG,extensions,declaredDifficulty,storedLineTier,difficultyMislabelled
"bach-minuet-in-g-bwv-anh114","Beginner","roots","1","3/4","3","yes","backing","24","G major","G major","0.25","yes","yes","24","C2–D3","43","0","0","0","7","0","498","1","1","4","78","0","Beginner","0","0","0","0.3","0.3","79","24","3","3","0","0","100","100","100","100","100","100","no","100","25","0","0","Intermediate","Intermediate",""
"bach-minuet-in-g-bwv-anh114","Intermediate","bass","0","3/4","3","yes","backing","24","G major","G major","0.25","yes","yes","8","G2–D3","48","5","0","0","7","0","1500","3","3","1.33","29","0","Beginner","0","0","0","0","0","100","8","3","3","0","0","100","100","100","100","100","100","no","75","0","0","0","Intermediate","Intermediate",""
"bach-minuet-in-g-bwv-anh114","Advanced","melody","0","3/4","3","yes","backing","24","G major","G major","0.25","yes","yes","32","F#2–G3","47","6","0","0","12","6","250","0.5","2.7","5.34","6","0","Intermediate","0","0","0.3","0.1","0.1","90","32","9","7","0","0","100","31","44","63","31","44","no","38","3","1","1","Intermediate","Intermediate",""
"bach-minuet-in-g-bwv-anh114","Expert","melody","0","3/4","3","yes","backing","24","G major","G major","0.25","yes","yes","32","F#2–G3","47","6","0","0","12","6","250","0.5","2.7","5.34","6","0","Intermediate","0","0","0.3","0.1","0.1","90","32","9","7","0","0","100","31","44","63","31","44","no","38","3","1","1","Intermediate","Intermediate",""
"bach-prelude-bwv1007-bars1-4","Beginner","roots","1","4/4","4","","backing","16","G major","G major","0.23","yes","yes","12","G2–D3","45","2","0","0","7","0","740","0.89","1","3","73","0","Beginner","0.5","0.4","0","1.2","1.2","58","12","3","3","0","0","100","100","100","100","67","100","no","83","0","0","0","Advanced","Advanced",""
"bach-prelude-bwv1007-bars1-4","Intermediate","bass","1","4/4","4","","backing","16","G major","G major","0.23","yes","yes","20","G3–C4","55","5","0","0","5","0","395","0.47","1.8","5.01","58","0","Beginner","0","0","0","0.8","0.8","62","20","3","3","0","0","100","60","70","70","100","70","no","20","0","0","0","Advanced","Advanced",""
"bach-prelude-bwv1007-bars1-4","Advanced","melody","0","4/4","4","","backing","16","G major","G major","0.23","yes","yes","32","G2–C4","59","5","0","0","12","3","416","0.5","0.2","8.01","45","0","Beginner","0","0","0","0.5","0.5","45","32","5","3","0","0","100","19","25","75","50","25","no","3","0","0","0","Advanced","Advanced",""
"bach-prelude-bwv1007-bars1-4","Expert","melody","0","4/4","4","","backing","16","G major","G major","0.23","yes","yes","64","G2–C4","57","5","0","0","12","43","208","0.25","0.2","16.02","0","0","Advanced","0","0","0","0","0","90","64","8","7","0","0","100","28","38","84","63","31","yes","28","0","0","0","Advanced","Advanced",""
"debussy-clair-de-lune","Beginner","roots","4","4/4","4","","backing","563.8","D♭ major","D♭ major","0.1","no","yes","301","D#3–C#4","54","10","47","0","9","8","422","0.84","1.7","2.14","60","37","Beginner","0","0","0","26.3","26.3","47","301","6","6","0","0","100","70","79","91","95","74","yes","0","0","0","0","Intermediate","Advanced","Intermediate→Advanced"
"debussy-clair-de-lune","Intermediate","bass","0","4/4","4","","backing","563.8","D♭ major","D♭ major","0.1","no","yes","278","C2–C#4","44","5","0","0","9","10","335","0.67","7.4","1.97","25","37","Beginner","0","0","0","21.9","15.2","67","278","19","11","22","1","92","72","78","89","98","75","yes","2","34","91","0","Intermediate","Advanced","Intermediate→Advanced"
"debussy-clair-de-lune","Advanced","melody","1","4/4","4","","backing","563.8","D♭ major","D♭ major","0.1","no","yes","333","C2–C#4","49","11","103","0","12","19","250","0.5","7.5","2.36","15","37","Intermediate","0","0","1","15.4","11.9","64","333","23","11","21","1","94","44","59","88","33","47","yes","1","20","66","126","Intermediate","Advanced","Intermediate→Advanced"
"debussy-clair-de-lune","Expert","melody","1","4/4","4","","backing","563.8","D♭ major","D♭ major","0.1","no","yes","582","C2–C#4","47","8","32","0","12","22","10","0.02","11.7","4.13","7","37","Advanced","0","0","1","4.4","3","74","582","24","11","52","2","91","48","62","91","36","51","yes","3","26","143","263","Intermediate","Advanced","Intermediate→Advanced"
"dies-irae","Beginner","roots","1","4/4","4","","backing","32","D minor","D minor","0.11","no","yes","32","D3–D3","50","0","0","0","0","0","749","1","1","4","100","0","Beginner","0","0","0","0.3","0.3","73","32","1","1","0","0","100","88","88","88","100","100","no","100","0","0","0","Beginner","Beginner",""
"dies-irae","Intermediate","bass","0","4/4","4","","backing","32","D minor","D minor","0.11","no","yes","8","D2–D2","38","2","0","0","0","0","3000","4","4","1","100","0","Beginner","0","0","0","0","0","100","8","1","1","0","0","100","100","100","100","100","100","no","0","100","8","0","Beginner","Beginner",""
"dies-irae","Advanced","melody","0","4/4","4","","backing","32","D minor","D minor","0.11","no","yes","21","C2–F3","41","5","0","0","11","10","750","1","3.6","2.63","0","0","Beginner","0","0","0.4","0.2","0.2","90","21","8","4","0","0","100","29","29","71","29","29","no","19","71","13","0","Beginner","Beginner",""
"dies-irae","Expert","melody","0","4/4","4","","backing","32","D minor","D minor","0.11","no","yes","21","C2–F3","41","5","0","0","11","10","750","1","3.6","2.63","0","0","Beginner","0","0","0.4","0.2","0.2","90","21","8","4","0","0","100","29","29","71","29","29","no","19","71","13","0","Beginner","Beginner",""
"fur-elise-opening","Beginner","roots","1","3/8","1.5","yes","backing","12.5","E major","E major","0.03","no","yes","15","E3–A3","57","2","0","0","5","0","476","0.57","1","4.81","71","0","Beginner","0.5","0.4","0","0.5","0.5","67","15","2","2","0","0","100","73","73","73","100","100","no","87","0","0","0","Intermediate","Advanced","Intermediate→Advanced"
"fur-elise-opening","Intermediate","bass","0","3/8","1.5","yes","backing","12.5","E major","E major","0.03","no","yes","9","E2–E3","45","4","0","0","7","0","417","0.5","1.5","2.88","38","0","Beginner","0","0","0","0.3","0.3","97","9","3","2","0","0","100","100","100","100","100","100","no","0","22","2","0","Intermediate","Advanced","Intermediate→Advanced"
"fur-elise-opening","Advanced","melody","0","3/8","1.5","yes","backing","12.5","E major","E major","0.03","no","yes","18","E2–E3","48","5","0","0","7","0","416","0.5","0.4","5.77","24","37","Beginner","0","0","1","0.5","0.5","43","18","7","6","4","0","78","61","72","89","22","72","no","11","11","2","1","Intermediate","Advanced","Intermediate→Advanced"
"fur-elise-opening","Expert","melody","0","3/8","1.5","yes","backing","12.5","E major","E major","0.03","no","yes","35","C2–E3","47","5","0","0","12","15","208","0.25","0.4","11.22","0","37","Advanced","0","0","1","0.3","0.3","74","35","9","7","8","0","77","49","66","80","14","60","yes","11","20","5","5","Intermediate","Advanced","Intermediate→Advanced"
"gymnopedie-no-1","Beginner","roots","1","3/4","3","yes","backing","455.9","D major","D major","0.31","yes","yes","266","D3–C#4","52","5","0","0","9","5","420","0.84","1.7","2.33","67","0","Beginner","0.8","0.4","0","7.8","6.3","50","266","6","6","0","0","100","86","89","97","99","87","yes","65","0","0","0","Beginner","Beginner",""
"gymnopedie-no-1","Intermediate","bass","0","3/4","3","yes","backing","455.9","D major","D major","0.31","yes","yes","288","C2–D4","50","5","0","0","9","8","334","0.67","7.6","2.53","36","0","Beginner","0","0","0","1.2","1.2","90","288","17","9","20","0","93","85","90","97","100","85","yes","26","16","42","0","Beginner","Beginner",""
"gymnopedie-no-1","Advanced","melody","1","3/4","3","yes","backing","455.9","D major","D major","0.31","yes","yes","134","D2–A3","48","6","17","0","12","12","770","1.54","8.8","1.18","13","0","Beginner","0","0","0.2","4.4","3","69","134","15","9","13","0","90","64","78","94","31","65","yes","28","25","34","15","Beginner","Beginner",""
"gymnopedie-no-1","Expert","melody","1","3/4","3","yes","backing","455.9","D major","D major","0.31","yes","yes","149","D2–A3","47","6","18","0","12","16","12","0.02","8.8","1.31","12","0","Beginner","0","0","0.2","4.4","3","69","149","15","9","13","0","91","66","79","95","36","66","yes","26","30","44","17","Beginner","Beginner",""
"moonlight-sonata-mvt1-opening","Beginner","roots","3","4/4","4","","backing","20","C♯ minor","C♯ minor","0.21","yes","yes","20","C#2–C#4","45","4","0","0","9","11","1105","0.99","1","4","84","37","Beginner","0","0","0","0.3","0.3","77","20","4","3","0","0","100","100","100","100","100","100","no","0","40","8","0","Advanced","Advanced",""
"moonlight-sonata-mvt1-opening","Intermediate","bass","0","4/4","4","","backing","20","C♯ minor","C♯ minor","0.21","yes","yes","5","C#2–C#4","45","4","0","0","9","50","4444","4","4","1","25","37","Beginner","0","0","0","0","0","100","5","4","3","0","0","100","100","100","100","100","100","no","0","40","2","0","Advanced","Advanced",""
"moonlight-sonata-mvt1-opening","Advanced","melody","0","4/4","4","","backing","20","C♯ minor","C♯ minor","0.21","yes","yes","60","G#2–F#3","49","6","0","0","10","27","370","0.33","0.3","12.01","0","37","Advanced","0","0","0","0","0","90","60","7","7","4","2","93","33","60","83","30","37","yes","3","0","0","32","Advanced","Advanced",""
"moonlight-sonata-mvt1-opening","Expert","melody","0","4/4","4","","backing","20","C♯ minor","C♯ minor","0.21","yes","yes","60","G#2–F#3","49","6","0","0","10","27","370","0.33","0.3","12.01","0","37","Advanced","0","0","0","0","0","90","60","7","7","4","2","93","33","60","83","30","37","yes","3","0","0","32","Advanced","Advanced",""
